Name                            DnsName                                                                  TTL IP
----                            -------                                                                  --- --
cdn.redhat.com                  e4177.cd.akamaiedge.net                                                   20 95.101.96.251
public-yum.oracle.com           e10877.g.akamaiedge.net                                                   20 2.20.72.206
repo.postgrespro.ru             repo.postgrespro.ru                                                     2051 93.174.131.139
repo.zabbix.com                 repo.zabbix.com                                                          220 178.128.6.101
copr-be.cloud.fedoraproject.org copr-be.aws.fedoraproject.org                                            280 52.44.175.77
download.docker.com             d2h67oheeuigaw.cloudfront.net                                             60 13.32.143.103
download.docker.com             d2h67oheeuigaw.cloudfront.net                                             60 13.32.143.102
download.docker.com             d2h67oheeuigaw.cloudfront.net                                             60 13.32.143.106
download.docker.com             d2h67oheeuigaw.cloudfront.net                                             60 13.32.143.70
download.tarantool.org          www.tarantool.org                                                       2053 188.93.56.54
repoee.postgrespro.ru           repoee.postgrespro.ru                                                   2053 93.174.131.139
mirror.yandex.ru                mirror.yandex.ru                                                         520 213.180.204.183
packages.cloud.google.com       www3.l.google.com                                                         57 173.194.222.101
packages.cloud.google.com       www3.l.google.com                                                         57 173.194.222.138
packages.cloud.google.com       www3.l.google.com                                                         57 173.194.222.102
packages.cloud.google.com       www3.l.google.com                                                         57 173.194.222.100
packages.cloud.google.com       www3.l.google.com                                                         57 173.194.222.139
packages.cloud.google.com       www3.l.google.com                                                         57 173.194.222.113
repo.mongodb.org                d1j5ogajzvcx9c.cloudfront.net                                             60 13.32.143.125
repo.mongodb.org                d1j5ogajzvcx9c.cloudfront.net                                             60 13.32.143.17
repo.mongodb.org                d1j5ogajzvcx9c.cloudfront.net                                             60 13.32.143.123
repo.mongodb.org                d1j5ogajzvcx9c.cloudfront.net                                             60 13.32.143.115
ftp.altlinux.org                ftp.altlinux.org                                                       84855 62.152.55.238
hub.docker.com                  us-east-1-elbdefau-1nlhaqqbnj2z8-140214243.us-east-1.elb.amazonaws.com    60 54.159.217.42
hub.docker.com                  us-east-1-elbdefau-1nlhaqqbnj2z8-140214243.us-east-1.elb.amazonaws.com    60 52.73.198.3
hub.docker.com                  us-east-1-elbdefau-1nlhaqqbnj2z8-140214243.us-east-1.elb.amazonaws.com    60 3.224.225.115
ibm.com                         ibm.com                                                                20056 129.42.38.10
