Name                            DnsName                                                                  TTL IP
----                            -------                                                                  --- --
cdn.redhat.com                  e4177.cd.akamaiedge.net                                                   20 2.16.30.83
public-yum.oracle.com           e10877.g.akamaiedge.net                                                   20 95.100.208.160
repo.postgrespro.ru             repo.postgrespro.ru                                                     1835 93.174.131.139
repo.zabbix.com                 repo.zabbix.com                                                           11 178.128.6.101
copr-be.cloud.fedoraproject.org copr-be.aws.fedoraproject.org                                            251 52.44.175.77
download.docker.com             d2h67oheeuigaw.cloudfront.net                                             60 99.86.7.108
download.docker.com             d2h67oheeuigaw.cloudfront.net                                             60 99.86.7.12
download.docker.com             d2h67oheeuigaw.cloudfront.net                                             60 99.86.7.77
download.docker.com             d2h67oheeuigaw.cloudfront.net                                             60 99.86.7.96
download.tarantool.org          www.tarantool.org                                                       3600 188.93.56.54
repoee.postgrespro.ru           repoee.postgrespro.ru                                                   3600 93.174.131.139
mirror.yandex.ru                mirror.yandex.ru                                                           4 213.180.204.183
packages.cloud.google.com       www3.l.google.com                                                        300 216.58.205.238
repo.mongodb.org                d1j5ogajzvcx9c.cloudfront.net                                             60 143.204.215.111
repo.mongodb.org                d1j5ogajzvcx9c.cloudfront.net                                             60 143.204.215.21
repo.mongodb.org                d1j5ogajzvcx9c.cloudfront.net                                             60 143.204.215.63
repo.mongodb.org                d1j5ogajzvcx9c.cloudfront.net                                             60 143.204.215.84
ftp.altlinux.org                ftp.altlinux.org                                                       10951 62.152.55.238
hub.docker.com                  us-east-1-elbdefau-1nlhaqqbnj2z8-140214243.us-east-1.elb.amazonaws.com    36 3.224.225.115
hub.docker.com                  us-east-1-elbdefau-1nlhaqqbnj2z8-140214243.us-east-1.elb.amazonaws.com    36 52.73.198.3
hub.docker.com                  us-east-1-elbdefau-1nlhaqqbnj2z8-140214243.us-east-1.elb.amazonaws.com    36 54.159.217.42
ibm.com                         ibm.com                                                                 4350 129.42.38.10
